EVENT_ID,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,INJURIES_INDIRECT,DEATHS_INDIRECT,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
854195,VESTAVIA HILLS,8/23/2019,1430,0,0,0,0,0,0,8/23/2019,1630,33.3912,-86.7786,33.4175,-86.7525
878344,MAGELLA,2/6/2020,300,0,0,0,0,0,0,2/6/2020,530,33.4611,-86.841,33.512,-86.7661
878353,MUD CREEK,2/10/2020,1230,0,0,0,0,0,0,2/10/2020,1700,33.38,-87.21,33.27,-87
889563,GRAYSVILLE,4/12/2020,2100,0,0,0,0,0,0,4/12/2020,2230,33.63,-86.97,33.5096,-86.6435
896082,SAYRETON,5/23/2020,1745,0,0,0,0,0,0,5/23/2020,1845,33.5723,-86.7887,33.6435,-86.7262
906403,VESTAVIA HILLS,6/29/2020,1750,0,0,0,0,0,0,6/29/2020,1900,33.4214,-86.7873,33.422,-86.7364
945191,ENSLEY,3/17/2021,1400,0,0,0,0,0,0,3/17/2021,1530,33.52,-86.89,33.5296,-86.8638
957813,BESSEMER ARPT,5/4/2021,1200,0,0,0,0,0,0,5/4/2021,1800,33.3102,-86.9274,33.3656,-87.1461
965744,VESTAVIA HILLS,6/7/2021,1845,0,0,0,0,0,0,6/7/2021,2030,33.41,-86.78,33.47,-86.72
970469,HOPKINS,6/19/2021,2015,1,0,0,0,0,0,6/19/2021,2345,33.479,-87.063,33.602,-86.909
973337,WOODLAWN,7/15/2021,1930,0,0,0,0,0,0,7/15/2021,2100,33.5285,-86.8016,33.5333,-86.7925
974969,VIRGINIA,7/19/2021,1615,0,0,0,0,0,0,7/19/2021,1900,33.429,-87.072,33.511,-87.026
981040,(BHM)BIRMINGHAM ARPT,8/10/2021,1430,0,0,0,0,0,0,8/10/2021,1600,33.5859,-86.7788,33.5918,-86.7649
984793,PATTON CHAPLE,9/18/2021,830,0,0,0,0,0,0,9/18/2021,1030,33.365,-86.829,33.415,-86.827
989794,FAIRVIEW,10/5/2021,1830,0,0,0,0,0,0,10/5/2021,2130,33.4924,-86.8868,33.5877,-86.9372
